#E_pot  E_kin  T  P_ideal P_virial
-1.502044e-05 7.959216e+02 3.190912e+02 8.811059e+02 8.811058e+02
-1.555850e-05 7.886420e+02 3.161728e+02 8.730473e+02 8.730472e+02
-1.596374e-05 8.222817e+02 3.296592e+02 9.102872e+02 9.102872e+02
-1.630808e-05 7.801312e+02 3.127607e+02 8.636255e+02 8.636255e+02
-1.674332e-05 7.059230e+02 2.830101e+02 7.814751e+02 7.814751e+02
-1.726676e-05 7.094592e+02 2.844278e+02 7.853898e+02 7.853897e+02
-1.810133e-05 7.183082e+02 2.879754e+02 7.951859e+02 7.951858e+02
-1.923300e-05 7.004437e+02 2.808134e+02 7.754094e+02 7.754094e+02
-2.050736e-05 6.612752e+02 2.651104e+02 7.320489e+02 7.320488e+02
-2.183649e-05 6.682001e+02 2.678867e+02 7.397149e+02 7.397148e+02
-2.291351e-05 7.087777e+02 2.841545e+02 7.846353e+02 7.846353e+02
-2.370886e-05 6.902282e+02 2.767179e+02 7.641006e+02 7.641005e+02
-2.446293e-05 7.023392e+02 2.815733e+02 7.775078e+02 7.775077e+02
-2.538557e-05 7.319652e+02 2.934506e+02 8.103046e+02 8.103045e+02
-2.620036e-05 7.238137e+02 2.901826e+02 8.012806e+02 8.012806e+02
-2.645122e-05 7.181171e+02 2.878988e+02 7.949744e+02 7.949743e+02
-2.619542e-05 7.147809e+02 2.865613e+02 7.912810e+02 7.912809e+02
-2.588707e-05 6.872075e+02 2.755069e+02 7.607566e+02 7.607565e+02
-2.523592e-05 6.947718e+02 2.785395e+02 7.691305e+02 7.691304e+02
-2.507408e-05 6.985808e+02 2.800665e+02 7.733472e+02 7.733471e+02
-2.546155e-05 6.985689e+02 2.800618e+02 7.733340e+02 7.733339e+02
-2.571384e-05 7.361937e+02 2.951458e+02 8.149856e+02 8.149855e+02
-2.593097e-05 7.746489e+02 3.105628e+02 8.575565e+02 8.575564e+02
-2.584765e-05 7.981405e+02 3.199808e+02 8.835624e+02 8.835623e+02
-2.594933e-05 7.988669e+02 3.202720e+02 8.843664e+02 8.843664e+02
-2.653573e-05 7.534873e+02 3.020790e+02 8.341301e+02 8.341300e+02
-2.729476e-05 7.713013e+02 3.092207e+02 8.538506e+02 8.538505e+02
-2.814744e-05 7.749986e+02 3.107030e+02 8.579437e+02 8.579436e+02
-2.949241e-05 7.527641e+02 3.017890e+02 8.333294e+02 8.333293e+02
-3.126468e-05 7.396132e+02 2.965167e+02 8.187711e+02 8.187709e+02
-3.287613e-05 7.223049e+02 2.895777e+02 7.996103e+02 7.996102e+02
-3.403202e-05 7.026627e+02 2.817030e+02 7.778659e+02 7.778658e+02
-3.489409e-05 6.839241e+02 2.741906e+02 7.571218e+02 7.571217e+02
-3.577397e-05 6.861765e+02 2.750935e+02 7.596152e+02 7.596151e+02
-3.667378e-05 6.910623e+02 2.770523e+02 7.650239e+02 7.650238e+02
-3.779161e-05 7.219107e+02 2.894197e+02 7.991739e+02 7.991738e+02
-3.990211e-05 7.487307e+02 3.001720e+02 8.288644e+02 8.288643e+02
-4.258873e-05 7.131455e+02 2.859056e+02 7.894706e+02 7.894705e+02
-4.498108e-05 7.205063e+02 2.888566e+02 7.976192e+02 7.976191e+02
